Manager,TW,TL,PF,PA,PFPG,PAPG,Diff,R,1B,2B,3B,HR,RBI,BB,IBB,K,HBP,SB,IP,H,ER,PBB,HB,PK,QS,W,L,SV,HD,Moves
AJ,13,9,7033,6892.3,319.7,313.3,6.4,760,978,314,25,216,768,486,56,1158,51,101,1182.1,1113,476,305,35,1046,104,83,59,69,11,162
Blaine,10,12,6561,6645.8,298.2,302.1,-3.9,776,976,270,41,183,662,585,40,1176,43,90,1206,1076,480,379,44,1160,102,81,68,43,30,104
Crum,10,12,6297,6625,286.2,301.1,-14.9,809,868,328,22,240,745,581,43,1360,64,102,1152,1104,468,392,49,1004,95,70,67,68,1,114
Dalt,6,16,6101.5,6782.5,277.3,308.3,-31,642,911,248,16,181,666,393,34,1017,49,63,1258.1,1177,472,339,63,1044,113,74,66,71,2,42
Kizer,10,12,6971,6984.8,316.9,317.5,-0.6,766,1038,284,26,175,741,500,38,1236,51,117,1249,1062,432,355,40,1275,118,90,58,95,3,86
Max,12,10,7260.8,6876.3,330,312.6,17.5,813,1115,300,27,204,808,566,49,1139,62,116,1274,1156,446,326,34,1150,118,84,55,81,7,329
Pama,13,9,6566.8,6483.8,298.5,294.7,3.8,796,875,304,25,243,847,497,45,1165,68,71,1150,1061,473,368,36,1074,99,72,72,69,1,45
Phil,9,13,6412.5,6667,291.5,303,-11.6,741,870,278,27,195,692,439,24,1143,55,115,1222.2,1073,457,350,56,1183,106,68,66,70,0,36
Riley,11,11,6810.2,6706.3,309.6,304.8,4.7,743,938,289,19,221,765,613,68,1180,55,59,1248,1067,460,310,40,1254,105,80,67,77,4,172
Sours,12,10,6854.5,6611.2,311.6,300.5,11.1,838,1019,325,36,225,861,664,52,1258,45,101,1184.2,1170,558,356,39,1133,89,69,72,73,13,475
Tevlin,14,8,7252,7038.5,329.6,319.9,9.7,776,938,313,36,207,770,614,36,1121,62,96,1254,1101,451,303,33,1267,101,74,64,96,3,208
